Sample Name	Protocol REF	Parameter Value[Post Extraction]	Term Source REF	Term Accession Number	Parameter Value[Derivatization]	Term Source REF	Term Accession Number	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Term Source REF	Term Accession Number	Parameter Value[Column type]	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Term Source REF	Term Accession Number	Parameter Value[Scan m/z range]	Term Source REF	Term Accession Number	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
SD-B00334	Extraction	120 μL isopropanol			none			SD-B00334	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00334	FILES/SD-B00334.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00310	Extraction	120 μL isopropanol			none			SD-B00310	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00310	FILES/SD-B00310.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00305	Extraction	120 μL isopropanol			none			SD-B00305	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00305	FILES/SD-B00305.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00387	Extraction	120 μL isopropanol			none			SD-B00387	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00387	FILES/SD-B00387.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00013	Extraction	120 μL isopropanol			none			SD-B00013	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00013	FILES/SD-B00013.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150417_QC_POS_13	Extraction	120 μL isopropanol			none			20150417_QC_POS_13	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			20150417_QC_POS_13	FILES/20150417_QC_POS_13.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00258	Extraction	120 μL isopropanol			none			SD-B00258	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00258	FILES/SD-B00258.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00323	Extraction	120 μL isopropanol			none			SD-B00323	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00323	FILES/SD-B00323.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00216	Extraction	120 μL isopropanol			none			SD-B00216	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00216	FILES/SD-B00216.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00254	Extraction	120 μL isopropanol			none			SD-B00254	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00254	FILES/SD-B00254.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
